Pilot PRD,模块,标题,原PRD来源,SRS编号,用户故事,页面,API,测试用例,优先级,状态
PRD-PILOT-AUTH-001,账号,账号注册与会话,PRD 11.1；17,FR-AUTH-001～008,US-AUTH-001,PAGE-P01,POST /auth/register；POST /auth/verify-email；POST /auth/login；POST /auth/refresh；POST /auth/logout；POST /auth/password-reset,TC-AUTH-001～012,P0,Baseline
PRD-PILOT-WS-001,工作空间,单工作空间启动与租户边界,PRD 11.2；14；Pilot 裁剪决策,FR-WS-001、002、007；DR-003,US-WS-001,PAGE-P02,POST /workspaces；GET/PATCH /workspaces/current,TC-WS-001～008,P0,Baseline
PRD-PILOT-DASH-001,工作台,商业事项工作台,PRD 8.1；12.1；原型 WF-01,FR-PROJ-005、FR-REC-012,US-DASH-001,PAGE-P03,GET /dashboard,TC-DASH-001～006,P0,Baseline
PRD-PILOT-CLIENT-001,客户,客户与联系人最小管理,PRD 11.3,FR-CLIENT-001～005、007,US-CLIENT-001,PAGE-P04,GET/POST /clients；GET/PATCH /clients/{clientId}；POST /clients/{clientId}/archive,TC-CLIENT-001～010,P0,Baseline
PRD-PILOT-PROJ-001,项目,项目创建、状态与归档,PRD 11.4,FR-PROJ-001～007,US-PROJ-001,PAGE-P05、PAGE-P06,GET/POST /projects；GET/PATCH /projects/{projectId}；POST /projects/{projectId}/archive,TC-PROJ-001～012,P0,Baseline
PRD-PILOT-BASE-001,商业基线,当前商业基线,PRD 11.5、11.7、12.3；原型 5.1,FR-QUOTE-014、FR-CR-005、007、010；DR-005,US-BASE-001,PAGE-P06,GET /projects/{projectId}/commercial-baseline,TC-BASE-001～010,P0,Baseline
PRD-PILOT-QUOTE-001,报价,报价草稿与发布校验,PRD 11.5.1；原型 WF-04,FR-QUOTE-001～003,US-QUOTE-001,PAGE-P07,POST /projects/{projectId}/quotes；PATCH /quotes/{quoteId}/draft,TC-QUOTE-DRAFT-001～012,P0,Baseline
PRD-PILOT-QUOTE-002,报价,不可变报价版本与发送,PRD 11.5.2～11.5.3；原型 5.2、WF-04,FR-QUOTE-004～008、012、013、015；FR-PUBLIC-001～005、009,US-QUOTE-002,PAGE-P07、PAGE-P16,POST /quotes/{quoteId}/publish；POST /quotes/{quoteId}/send；POST /quotes/{quoteId}/revoke；POST /quotes/{quoteId}/new-version,TC-QUOTE-PUBLISH-001～015,P0,Baseline
PRD-PILOT-QUOTE-003,公开报价,客户免注册确认报价,PRD 11.5.4～11.5.5；12.5；原型 WF-05,FR-QUOTE-008～014；FR-PUBLIC-002～009,US-QUOTE-003,PAGE-P08、PAGE-P16,GET /public/quotes/{token}；POST /public/quotes/{token}/confirm；POST /public/quotes/{token}/reject；POST /public/quotes/{token}/message,TC-PUBLIC-QUOTE-001～018,P0,Baseline
PRD-PILOT-MS-001,里程碑,里程碑管理,PRD 11.6.1～11.6.2,FR-MS-001～003,US-MS-001,PAGE-P06、PAGE-P09,POST /projects/{projectId}/milestones；PATCH /milestones/{milestoneId}；POST /projects/{projectId}/milestones/reorder；POST /milestones/{milestoneId}/start,TC-MS-001～012,P0,Baseline
PRD-PILOT-DEL-001,交付,不可变交付版本,PRD 11.6.3；原型 5.3、WF-06,FR-MS-004～006、012；FR-FILE-001～007,US-DEL-001,PAGE-P09、PAGE-P16,POST /milestones/{milestoneId}/deliveries；POST /deliveries/{deliveryId}/submit；POST /deliveries/{deliveryId}/send,TC-DEL-001～016,P0,Baseline
PRD-PILOT-ACC-001,验收,客户对具体交付版本验收,PRD 11.6.4；12.6；原型 WF-07,FR-MS-007～011；FR-PUBLIC-007～009,US-ACC-001,PAGE-P10、PAGE-P16,GET /public/deliveries/{token}；POST /public/deliveries/{token}/accept；POST /public/deliveries/{token}/request-revision；POST /public/deliveries/{token}/reject,TC-ACC-001～020,P0,Baseline
PRD-PILOT-CR-001,需求变更,需求变更草稿与发布,PRD 11.7.1～11.7.3；原型 WF-08,FR-CR-001～004、007、009,US-CR-001,PAGE-P11,POST /projects/{projectId}/change-requests；PATCH /change-requests/{changeId}/draft；POST /change-requests/{changeId}/publish；POST /change-requests/{changeId}/send；POST /change-requests/{changeId}/revoke,TC-CR-DRAFT-001～016,P0,Baseline
PRD-PILOT-CR-002,公开变更,客户确认需求变更,PRD 11.7.2～11.7.3；原型 WF-09,FR-CR-004～010；FR-PUBLIC-001～009,US-CR-002,PAGE-P12、PAGE-P16,GET /public/change-requests/{token}；POST /public/change-requests/{token}/confirm；POST /public/change-requests/{token}/reject；POST /public/change-requests/{token}/message,TC-PUBLIC-CR-001～018,P0,Baseline
PRD-PILOT-REC-001,应收,应收生成、状态与逾期,PRD 11.8.1～11.8.2；原型 WF-10,FR-REC-001～003、005～010、012～013,US-REC-001,PAGE-P03、PAGE-P06、PAGE-P13,GET /receivables；GET /receivables/{receivableId}；POST /receivables/{receivableId}/cancel,TC-REC-001～018,P0,Baseline
PRD-PILOT-PAY-001,付款记录,手工记录部分或全部付款,PRD 11.8.3；Pilot 审计增强,FR-REC-004～008、011,US-PAY-001,PAGE-P13,POST /receivables/{receivableId}/payments；POST /payment-records/{paymentId}/void,TC-PAY-001～016,P0,Baseline
PRD-PILOT-REM-001,提醒,到期/逾期识别与人工发送提醒,PRD 11.9；原型 17.5；Pilot 裁剪决策,FR-NOTIF-002～005、007、009；FR-REC-009,US-REM-001,PAGE-P03、PAGE-P13、PAGE-P14,POST /receivables/{receivableId}/reminders；POST /email-tasks/{taskId}/retry,TC-REM-001～014,P0,Baseline
PRD-PILOT-NOTIF-001,业务邮件,关键业务邮件任务,PRD 11.9；Pilot 裁剪决策,FR-NOTIF-002～005、009,US-NOTIF-001,PAGE-P07、PAGE-P09、PAGE-P11、PAGE-P14,POST /quotes/{id}/send；POST /deliveries/{id}/send；POST /change-requests/{id}/send；POST /email-tasks/{id}/retry,TC-NOTIF-001～012,P0,Baseline
PRD-PILOT-FILE-001,文件,交付文件安全管理,PRD 11.6.3；Pilot 裁剪决策,FR-FILE-001～007,US-FILE-001,PAGE-P09、PAGE-P10,POST /files/upload-intents；POST /files/{fileId}/complete；GET /files/{fileId}/download,TC-FILE-001～016,P0,Baseline
PRD-PILOT-AUDIT-001,审计,项目时间线与不可变审计,PRD 11.11；原型 10.5,FR-AUDIT-001～005,US-AUDIT-001,PAGE-P06、PAGE-P15,GET /projects/{projectId}/timeline；GET /audit-logs,TC-AUDIT-001～012,P0,Baseline
PRD-PILOT-PUBLIC-001,安全,单对象公开链接安全,PRD 13.1、14；产品原则 5；SRS 3.13,FR-PUBLIC-001～009；NFR-SEC-*,US-PUBLIC-001,PAGE-P08、PAGE-P10、PAGE-P12、PAGE-P16,所有 /public/* 接口；POST /public-links/{linkId}/revoke,TC-SEC-PUBLIC-001～024,P0,Baseline
PRD-PILOT-ERR-001,异常,一致的异常、冲突与恢复,PRD 13；16；SRS 9,API-002、API-004；NFR-REL-002～005,US-ERR-001,全部页面,统一错误响应契约,TC-ERR-001～016,P0,Baseline
